image_path,class_name
cropped_objects\Gloves\train_ds2_images-2022-07-04T013937_jpg.rf.UkX0qEr6zkaaq4tU5I7x_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T014003_jpg.rf.4TQ4qnNRdIhFCmy5SVh9_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T014003_jpg.rf.s1RykRICFS2lc9DgJdkt_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T014003_jpg.rf.Yvj3nnFSGBg6GpRHC3r9_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-34-_jpg.rf.GTQVCIcNtxz8KEd50jvn_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-34-_jpg.rf.yvwaRz0w5cvYQgHtxiWj_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-34-_jpg.rf.ZMCyc1tviJ6D0vvWbebi_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_image_229_jpg.rf.1kcrL4PKW89GIeUA9R63_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_image_229_jpg.rf.dzSNklQz8yMCEiPgCB4v_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_image_229_jpg.rf.jdPFjgFhWONzKzxUOqjN_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0067_jpg.rf.0RPXWYDP2z9sfc7RwBpJ_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0067_jpg.rf.3JZw0MtI1EEbSF01k04l_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0067_jpg.rf.oLt2iB1PXdtIL3LTLO4v_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0068_jpg.rf.3XkFwHiWHHeOwkStPz7f_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0068_jpg.rf.P865EZe1rfpLSShGfDA6_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0068_jpg.rf.Z821sjhNKkAwVQmhJI0O_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0074_jpg.rf.HV7UH23RX3OdUHYLo3wR_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0074_jpg.rf.nyolGs9iEEVhKBbT1Sjo_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0074_jpg.rf.uzv7if9JXeNc0ZSXfI8Q_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0129_jpg.rf.1oNLqsaJy78nVV0sr6CN_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0129_jpg.rf.C29WDhjt70v1a0pZx6PG_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0129_jpg.rf.f6VmdSP3wcSY9phk2wNJ_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0130_jpg.rf.GxG8n30v5DpnH0V2tXxc_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0130_jpg.rf.Lt5E3rzd2GdDv1Cg7I6o_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0130_jpg.rf.nyv3k1WiXBqYjpoBYedw_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0131_jpg.rf.5jA4RdWjzTQ1VGzLVq4W_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0131_jpg.rf.7PAOtXQwH3a3VjStDett_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_IMG-20221020-WA0131_jpg.rf.TI57SXSodgJIbsF3nKCw_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_ISHN0420_pg4_digitalExcl_pic_jpg.rf.Np1tc6VYLibB5HTGT4Dy_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_MqY-ikV0-2048x1301_jpeg_jpg.rf.FJs6yMK5CHrsMe5m4wdU_2.jpg,Gloves
cropped_objects\Gloves\train_ds2_ppe-workers_35_jpeg_jpg.rf.UGF8sKR7AKbI8AiO9o4i_3.jpg,Gloves
cropped_objects\Gloves\train_ds2_ppe-workers_54_jpeg_jpg.rf.VxfypYmUPO6ORTDXE5hs_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_ppe-workers_54_jpeg_jpg.rf.VxfypYmUPO6ORTDXE5hs_2.jpg,Gloves
cropped_objects\Gloves\train_ds2_ppe_0961_jpg.rf.btgyFxuzoxCcPGscLQGO_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_ppe_0961_jpg.rf.N6g7QEo3S1xbkrNDfZNB_2.jpg,Gloves
cropped_objects\Gloves\train_ds2_ppe_0961_jpg.rf.WxV334LoBQvxb7otisrD_2.jpg,Gloves
cropped_objects\Gloves\train_ds2_vhfhdfh_jpg.rf.W67z1phxnFxpugbF0JeR_1.jpg,Gloves
cropped_objects\Hardhat\-1242-_png_jpg.rf.50f2da08439f853cc1878bfcaa5e2daa_0.jpg,Hardhat
cropped_objects\Hardhat\-1352-_png_jpg.rf.3418dfe938bb2d0a4495f4cf58c75055_0.jpg,Hardhat
cropped_objects\Hardhat\-1459-_png_jpg.rf.7389295bbf74634b7df3ac0953cd72f9_0.jpg,Hardhat
cropped_objects\Hardhat\-1599-_png_jpg.rf.1e781d55ecd41800f8257055d8e3d459_0.jpg,Hardhat
cropped_objects\Hardhat\-2231-_png_jpg.rf.d1216ff244b63547de0ada0f83906c90_0.jpg,Hardhat
cropped_objects\Hardhat\-2480-_png_jpg.rf.dbce61fd93bb3028c13a9d4f1bdf7ea6_0.jpg,Hardhat
cropped_objects\Hardhat\-2657-_png_jpg.rf.a4a717c4a0c8df3e17da2b6d17858f6d_1.jpg,Hardhat
cropped_objects\Hardhat\-3147-_png_jpg.rf.5ba4c26f7b219476e999e740d17674d7_1.jpg,Hardhat
cropped_objects\Hardhat\-3202-_png_jpg.rf.de4af630a2bbdb1d9d15fa08be215e5a_0.jpg,Hardhat
cropped_objects\Hardhat\-3224-_png_jpg.rf.917344e576a973325fb556f711b76cea_3.jpg,Hardhat
cropped_objects\Hardhat\-3874-_png_jpg.rf.bc27da3329142f1ecb9370bb9060bf72_2.jpg,Hardhat
cropped_objects\Hardhat\-3935-_png_jpg.rf.b10d46c8ec4aa43e6e4871a2833f6fc3_0.jpg,Hardhat
cropped_objects\Hardhat\-3963-_png_jpg.rf.1d451da898ca117f33c137ac0f11343e_0.jpg,Hardhat
cropped_objects\Hardhat\-4201-_png_jpg.rf.b5be6da0f723dffaaa304bf0e5af4ac8_1.jpg,Hardhat
cropped_objects\Hardhat\-4473-_png_jpg.rf.7fdbc79e79803f8be3e83fda5c72e277_0.jpg,Hardhat
cropped_objects\Hardhat\-4496-_png_jpg.rf.4410f2713de6f8eb195ff4c58db85e05_1.jpg,Hardhat
cropped_objects\Hardhat\000046_jpg.rf.0080c62c4fe859dc3283fa763c378fec_0.jpg,Hardhat
cropped_objects\Hardhat\000082_jpg.rf.b62f8f529b4562c7cb2e1e3ffe86b273_0.jpg,Hardhat
cropped_objects\Hardhat\000082_jpg.rf.b952fd0e13116fbb46468a585f435793_0.jpg,Hardhat
cropped_objects\Hardhat\000092_jpg.rf.1245b583c99fa60c19f622ada4019f75_0.jpg,Hardhat
cropped_objects\Hardhat\000092_jpg.rf.e0802dfded95c55d0c8039f95ddb447c_3.jpg,Hardhat
cropped_objects\Hardhat\000092_jpg.rf.f26f8b5fd3c95797f324d6cd354745ca_0.jpg,Hardhat
cropped_objects\Hardhat\000145_jpg.rf.5c113deaeab7b2b8050cbc80f42da3b7_1.jpg,Hardhat
cropped_objects\Hardhat\000145_jpg.rf.7130d3533f27d3e3cac65cd84d310b66_1.jpg,Hardhat
cropped_objects\Hardhat\000145_jpg.rf.f559d2fa879670aa58c7d241412924b9_1.jpg,Hardhat
cropped_objects\Hardhat\000259_jpg.rf.ccc17be9fcfdee7ab4c6a1de9ad5eb57_3.jpg,Hardhat
cropped_objects\Hardhat\000259_jpg.rf.e32930c81c87a95ff5a6342c98f13c0f_3.jpg,Hardhat
cropped_objects\Hardhat\000276_jpg.rf.b52d25e1fe16d625a48a7a74cdf3e2cd_5.jpg,Hardhat
cropped_objects\Hardhat\000333_jpg.rf.11293ee2077fb75d34adea3ab9600055_1.jpg,Hardhat
cropped_objects\Hardhat\000357_jpg.rf.cfcbdce5757a184a3f9cd10b5f9b1230_0.jpg,Hardhat
cropped_objects\Hardhat\000373_jpg.rf.3150cb3be14117663f48811f452de85d_8.jpg,Hardhat
cropped_objects\Hardhat\000373_jpg.rf.dc31acc6ac4471d3ed6464982a989554_8.jpg,Hardhat
cropped_objects\Hardhat\000385_jpg.rf.7ccd228d56c5d86cd67066017831b3fb_0.jpg,Hardhat
cropped_objects\Hardhat\000385_jpg.rf.c694c0e3f6c1560bd2240c3e8e6f7201_0.jpg,Hardhat
cropped_objects\Hardhat\000535_jpg.rf.558a2a1fde5e8cf46ba97533e832bcc8_0.jpg,Hardhat
cropped_objects\Hardhat\000586_jpg.rf.c2c5e14e795f34e44f19a9553b4e8dcf_0.jpg,Hardhat
cropped_objects\Hardhat\000713_jpg.rf.0589797bc505d88914948db902dffb3e_0.jpg,Hardhat
cropped_objects\Hardhat\000713_jpg.rf.0589797bc505d88914948db902dffb3e_1.jpg,Hardhat
cropped_objects\Hardhat\000713_jpg.rf.b5e77f8134c74e7b7e35a04ea31eb4da_0.jpg,Hardhat
cropped_objects\Hardhat\000713_jpg.rf.b5e77f8134c74e7b7e35a04ea31eb4da_1.jpg,Hardhat
cropped_objects\Hardhat\000775_jpg.rf.91c46fa05a28ed51185fd0bd7d0aa2d1_2.jpg,Hardhat
cropped_objects\Hardhat\000790_jpg.rf.0e6f719b48c0007e82552e0d3f2ff4ec_0.jpg,Hardhat
cropped_objects\Hardhat\000823_jpg.rf.b43562ea3862325a34b48a2ad0695f40_0.jpg,Hardhat
cropped_objects\Hardhat\000827_jpg.rf.320157e5ddb16a8715c3189a5983dd73_1.jpg,Hardhat
cropped_objects\Hardhat\000946_jpg.rf.e57e4b9290df384dec5da1e28a98ff0e_0.jpg,Hardhat
cropped_objects\Hardhat\000998_jpg.rf.2e6a791f6eaa374a11fa853023d77bc0_0.jpg,Hardhat
cropped_objects\Hardhat\001175_jpg.rf.3e8d266db58caadfbe785a064ef8b597_0.jpg,Hardhat
cropped_objects\Hardhat\001312_jpg.rf.4fa69bcf6ef53d535d061a1a0e76b6db_0.jpg,Hardhat
cropped_objects\Hardhat\001550_jpg.rf.03587ef026f9a3f5c106a3c91087632d_1.jpg,Hardhat
cropped_objects\Hardhat\001647_jpg.rf.3df4a81978f25720438c2c44bef76cd1_2.jpg,Hardhat
cropped_objects\Hardhat\001798_jpg.rf.f8239177a78c237669dd0f8ded85f198_0.jpg,Hardhat
cropped_objects\Hardhat\002236_jpg.rf.2e885c90fc1009cecef85479354cfea5_0.jpg,Hardhat
cropped_objects\Hardhat\002278_jpg.rf.0b0249090e51ed7bd9980e328a2ba4bb_0.jpg,Hardhat
cropped_objects\Hardhat\002664_jpg.rf.85d5bd563a270831c1916e8c057ba38e_0.jpg,Hardhat
cropped_objects\Hardhat\002732_jpg.rf.534520b0f11abd55d824233324f536eb_0.jpg,Hardhat
cropped_objects\Hardhat\003104_jpg.rf.cc41ecdc8f33de930a69ed47e4649ac9_0.jpg,Hardhat
cropped_objects\Hardhat\003543_jpg.rf.1bd62cba13dcc4fe482a883674c1ddf1_1.jpg,Hardhat
cropped_objects\Hardhat\003655_jpg.rf.9543a88be1e0b9bccc6178e7431a5a38_4.jpg,Hardhat
cropped_objects\Hardhat\003657_jpg.rf.22490d4794194f5a5ea95e8920ce040f_1.jpg,Hardhat
cropped_objects\Hardhat\00379_jpg.rf.080a1cd7a9337ba5bf030055cb74f697_0.jpg,Hardhat
cropped_objects\Hardhat\003812_jpg.rf.5068d7a41f3e22afe94130b33a014f4f_3.jpg,Hardhat
cropped_objects\Hardhat\004148_jpg.rf.a87881810afec6750d2fb415f53fafb5_1.jpg,Hardhat
cropped_objects\Hardhat\004354_jpg.rf.2df5a8176dd5e7972fe55b56c52ed6d9_0.jpg,Hardhat
cropped_objects\Hardhat\004372_jpg.rf.ea98cf723830b5584166263efcdb5b7d_1.jpg,Hardhat
cropped_objects\Hardhat\004526_jpg.rf.9e659e9a922f18a694386d9bca93450f_11.jpg,Hardhat
cropped_objects\Hardhat\004607_jpg.rf.26729b9c80062b7b1dbdaa415f6f2bd2_0.jpg,Hardhat
cropped_objects\Hardhat\004615_jpg.rf.fdbd41ac2296987161436318d094cba4_0.jpg,Hardhat
cropped_objects\Hardhat\004874_jpg.rf.fb6035aa1c172990a1c50d690224bf52_2.jpg,Hardhat
cropped_objects\Hardhat\005011_jpg.rf.977c1bf328d18d179794185debca1cd8_2.jpg,Hardhat
cropped_objects\Hardhat\005212_jpg.rf.d41fcb1db931d2c5bf376313254a101f_1.jpg,Hardhat
cropped_objects\Hardhat\005374_jpg.rf.5d6d1add386c11247bf0bcf07f4e3832_1.jpg,Hardhat
cropped_objects\Hardhat\005380_jpg.rf.1216898f2d52ed9cad2744422e47a4dd_0.jpg,Hardhat
cropped_objects\Hardhat\005381_jpg.rf.3cd22f0e5d0c80496a189eab5a639760_0.jpg,Hardhat
cropped_objects\Hardhat\005381_jpg.rf.570d0b8bb55f2e4224519e666db05ccf_0.jpg,Hardhat
cropped_objects\Hardhat\00538_jpg.rf.5c313dff90f65c2cce5a9a4c7c4e859c_2.jpg,Hardhat
cropped_objects\Hardhat\005418_jpg.rf.2e5a1eff04f2bba4a6634188b462edbd_1.jpg,Hardhat
cropped_objects\Hardhat\005533_jpg.rf.bd34aa62040827d636a279972bddc69a_0.jpg,Hardhat
cropped_objects\Hardhat\005900_jpg.rf.75d3f94189eb4f601ae357e73cfd889d_1.jpg,Hardhat
cropped_objects\Hardhat\006047_jpg.rf.9244fe30951c95e152cb1fb08f75c311_0.jpg,Hardhat
cropped_objects\Hardhat\006340_jpg.rf.df43be812b79d1a712fe2ac29b859f8d_1.jpg,Hardhat
cropped_objects\Hardhat\006435_jpg.rf.b4c1ab2a29074d5704456ca16a1073c7_1.jpg,Hardhat
cropped_objects\Hardhat\006530_jpg.rf.2ce27a42082c7c9f95557ddf6ec1ffd6_0.jpg,Hardhat
cropped_objects\Hardhat\006786_jpg.rf.99f9458884296a54af63620162918009_1.jpg,Hardhat
cropped_objects\Hardhat\006938_jpg.rf.e31bf96223e5e078fcafad6ade2823e2_0.jpg,Hardhat
cropped_objects\Hardhat\006948_jpg.rf.61ee0446239dc03488bdd798b84dc020_1.jpg,Hardhat
cropped_objects\Hardhat\006965_jpg.rf.17b5cf24c1cbcb903b09f647131b3462_3.jpg,Hardhat
cropped_objects\Hardhat\007006_jpg.rf.40565d2c04f5b0b9720055ec7d114d6d_0.jpg,Hardhat
cropped_objects\Hardhat\01266_jpg.rf.b2f0dd15927cffece51563b9e99c95e1_1.jpg,Hardhat
cropped_objects\Hardhat\02540_jpg.rf.06a73881bfa5238e1576f77a2ee5aaf8_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00074_jpg.rf.76032f5540b68f600fd14e6f3577730e_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00082_jpg.rf.5b6204e785a24faae3cd4381b7218968_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00083_jpg.rf.14594a117573a312b8ef2d1efbbd08d7_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00084_jpg.rf.30fcdbd54df56f117d238e140db746cf_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00134_jpg.rf.a06f781d2237db46c4f97f21c5251c43_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00149_jpg.rf.cfb19e47e9ab0bac7e181a1b93dcafcd_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00157_jpg.rf.9dfd5aed7870b045271d6c837cb6a2a2_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00167_jpg.rf.5db1faa818cb0f77da6158af85b6a5be_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00176_jpg.rf.62a8cb24d307a737b2b82f85af4a3756_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00201_jpg.rf.876b541b257e9cd8c030e9aa28ab70c1_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00257_jpg.rf.4cf535fc58fc79b015516d77ae742b6b_1.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00273_jpg.rf.ec9631f72177d6e031318e2beb2b44e5_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00289_jpg.rf.0e300d2c02eac3a16d2e0a849b56305f_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00333_jpg.rf.a30551226510431fb673d0d3ce80fbb2_1.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00381_jpg.rf.1ed40aaff3bc0fbf448d45f3e4eb2f03_0.jpg,Hardhat
cropped_objects\Hardhat\front_crawling_00465_jpg.rf.dc461d93111a2b4eea417ef4500b0467_0.jpg,Hardhat
